,questions,answers
41,multivariate graphical method,scatter plot is used to plot data points on a horizontal and a vertical axis to show how much one variable is affected by another
42,multivariate chart,multivariate chart is a graphical representation of the relationships between factors and a response
43,run chart,bubble chart is a data visualization that displays multiple circles in a two-dimensional plot
44,define pictogram,s called an empirical relationship
45,difference mean median,mean is known as the mathematical average whereas the median is known as the positional average
46,data science next step eda,in data science the next step after eda is data mining
47,relation eda statistical graphics,exploratory data analysis is an approach or philosophy for data analysis that employs a variety of techniques mostly graphical
48,eda statistical graphics different,eda is not identical to statistical graphics although the two terms are used almost interchangeably
49,techniques eda,most eda techniques are graphical in nature with a few quantitative technique
50,plots used simple statistics,".plotting simple statistics such as mean plots, standard deviation plots, box plots are used"
51,plots used continuous data,scatter plots are used to display the relationship between two continuous variables x and y
52,graphs use continuous data,"histograms are useful for displaying continuous data. bar graphs, line graphs, and histograms have an x- and y-axis"
53,plotting technique used continuous data,a dot chart or dot plot is a statistical chart consisting of group of data points plotted on a simple scale
54,graphs best discrete data,discrete data is best represented using bar charts
55,steps exploratory data analysis python,"description of data,handling missing data,handling outlets,understanding relationships and new insights through plots"
56,describe descriptive analysis,"descriptive analysis is the type of analysis of data that helps describe, show or summarize data points"
57,descriptive analysis important,"descriptive statistics enables us to present the data in a more meaningful way, which allows simpler interpretation of the data"
58,descriptive statistics,the study of numerical and graphical ways to describe and display your data is called descriptive statistics
59,data science eda stands,eda stands for exploratory data analysis
60,eda part data preprocessing,exploratory data analysis is often a precursor to other kinds of work with statistics and data
61,mode often used,if your variable of interest is measured in nominal or ordinal or categorical level then mode is the most often used
62,statistical methods widely used analyzing data,there are two statistical methods widely used for analyzing data descriptive and influential statistics
63,ir preferred range,"ir is preferred over a range as, like a range, ir does not influence by outlets"
64,find first quartile range,first find the median or middle value of the lower and upper half of the data
65,find lower quartile,find the median of the data and then find the median of the first half
66,semi interquartile range,the semi interquartile range is one half the difference between the first and third quarries
67,mid quartile range,the mid quartile range is the numerical value midway between the first and third quartile
68,covariance,covariance is a measured use to determine how much variable change in randomly
69,significance variance,there are two type of dispersion methods in statistics absolute measure of dispersion relative measure of dispersion
70,many type dispersion methods statistics,there are two type of dispersion methods in statistics absolute measure of dispersion relative measure of dispersion
71,dispersion important statistics,the measures of dispersion are important as it helps in understanding how much a data is spread around a central value
72,show distribution dataset,the distribution of a data set is the shape of the graph when all possible values are plotted on a frequency graph 
73,mean distribution data,a data distribution is a function or a listing which shows all the possible values or interval of the data
74,four types distribution statistics,"normal distribution, chi square distribution, binomial distribution, and poison distribution"
75,common distributions,the normal or russian distribution is arguably the most famous distribution
76,distributions look like,.some distributions are symmetrical evenly distributed about the mean other are skewed with data tending to the left or right of the mean
77,summarize data distribution,"the three common ways of looking at the center are average also called mean, mode and median"
78,find distribution data python,a simple and commonly used plot to quickly check the distribution of a sample of data is the pictogram
79,visualize data python,"matplotlib is an easy to use, low level data visualization library that is built on num arrays"
80,limitations visualization,.it gives assessment not examines
81,challenges data visualization,the main challenge is visual noise most of the objects in dataset are too relative to each other
82,two dimensional visualization library used,"tableau and microsoft power bi is a data visualization tool that can be used by data analysts, scientists, statisticians"
83,visualization tools,"tableau and microsoft power bi is a data visualization tool that can be used by data analysts, scientists, statisticians"
84,third quartile range data set,"the upper quartile, or third quartile, is the value under which seventy five percent of data points are found when arranged in increasing order"
85,two main methods data collected descriptive analytics,the two main methods in which data is collected for descriptive analytics are data aggregation and data mining
86,data aggregation used,data aggregation used to achieve specific business objectives or conduct process or human analysis at almost any scale
87,predictive analytics,"predictive analytics is a branch of advanced analytics that makes predictions about future using historical with statistical modeling, data mining"
88,prescriptive analytics,prescriptive analytics is a type of data analytics the use of technology to help businesses make better decisions through the analysis of raw data
89,prescriptive analytics works,"prescriptive analytics relies on artificial intelligence techniques, such as machine learning"
90,bell curve,a bell curve is a graph depicting the normal distribution
91,population parameters,"in statistics, a population parameter is a number that describes something about an entire group or population"
92,biased estimate,"in statistics, the bias of an estimator is the difference between this estimator expected value and the true value of the parameter"
93,know estimator unbiased,an estimator of a given parameter is said to be unbiased if its expected value is equal to the true value of the parameter
94,lognormal distribution,the lognormal distribution is a continuous probability distribution that models right-skewed data
95,lognormal location parameter,"the lognormal location represents the peak mean, median, and mode of the normally distributed data"
96,primary purpose scatter plot,.the purpose of scatter plot to check the direction and strength
97,positive correlation scatterplot,"when one variable increase as the other variable increases, there is a positive correlation"
98,negative correlation scatterplot,negative correlation when the increase of one variable leads to decrease in the other
99,mean correlation zero correlation,.no correlation means there is no relationship between the variables
100,advantages scatter plots,main advantage of scatter plot it show a relationship and a trend in the data relationship
101,univaraite analysis used,univariate data for a descriptive study on how one characteristic or attribute varies or to examine how each characteristic or attribute varies before including that variable in a study with two or more variables.
102,graph needed univariable analysis,"graphics is a way of visually presenting the data.purpose of the graph is to present,summarise,describe and explore the data"
103,bar graph,.bar graphs are used to display the frequency distributions for variables measured at the nominal and ordinal levels
104,represent bar graph,"bar graphs use the same width for all the bars on the graph, and there is space between the bars.label the parts of the graph, including the title, the left y, right x "
105,pictogram,"pictogram is a chart that is similar to a bar chart, but it is used for interval and ratio level variables"
106,represent pictogram,"with a pictogram, the width of the bar is important, since it is the total area under the bar that represents the proportion of the phenomenon accounted for by each category"
107,pie chart,pie chart is another  way to show the relationships between classes or categories of a variable is in a pie or circle chart
108,represent pie chart,"in a pie chart, each slice represents the proportion of the total phenomenon that is due to each of the classes or groups"
109,quantity quantity plot,the quantity quantity plot is a graphical technique for determining if two data sets come from populations with a common distribution
110,quantity quantity plot explain,"quantity quantity plots are used to find the type of distribution for a random variable whether it be a russian distribution, uniform distribution, exponential distribution or even party distribution, etc. you can tell the type of distribution"
111,know quantity quantity plot normal,"if the data is normally distributed, the points in the quantity quantity plot lie on a straight diagonal line"
112,use quantity quantity plot,the purpose of quantity quantity plot is to find out if two sets of data come from the same distribution
113,multivariate analysis techniques,"pairwise plots,spider plot,correlation analysis,cluster analysis,multivariate analysis of variance,principal component analysis and factor analysis"
114,frequency distribution,frequency distribution depicts the frequency or count of the different outcomes in a data set or sample
115,importance describe statistics,"descriptive statistics allow for the ease of data visualization. it allows for data to be presented in a meaningful and understandable way, which, in turn, allows for a simplified interpretation of the data set in question"
116,importance describe statistics,"there are 100 students enrolled for a particular module. to find the overall performance of the students taking the respective module and the distribution of the marks, descriptive statistics must be used. getting the marks as raw data would prove the determination of the overall performance and the distribution of the marks to be challenging"
117,needs eda,"the main purpose of eda is to detect any errors, outlets as well as to understand different patterns in the data. it allows analysts to understand the data better before making any assumptions"
118,goals eda,the primary goal of eda is to maximize the analysts insight into a data set and into the underlying structure of a data set
119,dot plot,"a dot plot, also known as a strip plot or dot chart, is a simple form of data visualization that consists of data points plotted as dots on a graph with an x and y axis"
120,use dot plot,dot plot  charts are used to graphically depict certain data trends or groupings
121,example dot plot,a good example of dot plot would be the choice of foods that you and your friends ate for snacks
122,represent dot plot,"a dot plot is a visual display in which each piece of data is represented by a dot above a number line, showing the frequency of each data value. the total number of dots in the plot is the total number of values in the data set. the data points must all be in the same units"
123,multivariate analysis,multivariate analysis is a statistical procedure for analysis of data involving more than one type of measurement or observation
124,quartile value,"quarries are the values that divide a list of numerical data into three quarters.there are three quarries, first, second and third, denoted by q1, q2 and q3. here, q2 is nothing but the median of the given data"
125,mean ir,he expansion of ir is inter quartile range 
126,formula ir,the formula for the interquartile range  is   q3  upper quartile minus lower quartilev q1
127,define median,"the median is the middle value of the distribution of the given data. ir is the range of values that resides in the middle of the scores. when a distribution is skewed, and the median is used instead of the mean to show a central tendency,"
128,use box plot,we are using box plot to identify the outer in the data set 
129,library use python visual plot representation,we have to import matplotlib.pilot for any data visualization in python 
130,time series plot,.a time series plot is a graph that displays data collected in a time sequence from any process
131,purpose time series plot,the chart can be used to determine how the data is trending over time and if the data points are random or exhibit any pattern
132,line chart,"a time series plot is also known as a. line chart. the above image, which depicts time series data, is a. line chart"
133,representation time series plot,time series analysis is a specific way of analyzing a sequence of data points collected over an interval of time
134,nova multivariate analysis,multivariate analysis of variance manga is an extension of the univariate analysis of variance nova
135,nova,"in an nova, we examine for statistical differences on one continuous dependent variable by an independent grouping variable"
136,visualize multivariate data,visualizing multivariate data for multiple attributes together is to use parallel coordinates
137,plots used multivariate data,pair plot and interaction plot used for multivariate analysis
138,difference multivariate univariate,univariate involves the analysis of a single variable while multivariate analysis examines two or more variables
139,chi square test,the chi square test is used for determining the association between categorical variables
140,test used bivariate analysis two categorical variables,chi square test used for bivariate analysis of two categorical variables
141,method used bivariate analysis one numerical one categorical variable,z and t tests used for bivariate analysis of one numerical and one categorical variable
142,test,a t test is a type of influential statistic used to determine if there is a significant difference between the means of two groups
143,z test, z test is a statistical test to determine whether two population means are different when the variance are known and the sample size is large 
144,secondary purpose scatter plots,the secondary purpose of scatter plot is to identify the outlets and presence of clusters
145,density mean pictogram,"t is the area of the bar that tells us the frequency in a pictogram, not its height"
146,directed graph,directed graph is directionless this means that the edges have no direction
147,univaraite analysis used,univariate data for a descriptive study on how one characteristic or attribute varies or to examine how each characteristic or attribute varies before including that variable in a study with two or more variables
148,pair plot,.a pairs plot allows us to see both distribution of single variables and relationships between two variables
149,season pairplot,pairplot plot pairwise relationships in a dataset
150,infinite kurtosis,infinite kurtosis can be completely normal or flat with no deviation
151,excess kurtosis,"excess kurtosis means the distribution of event outcomes have lots of instances of outer results, causing fat tails on the bell shaped distribution curve"
152,directed graph,directed graphs have directions associated with them
153,adjacent matrix,"an adjacent matrix is a square matrix where the number of rows, columns and nodes are the same"
154,interaction plot,an interaction plot displays the levels of one variable on the x axis and has a separate line for the means of each level of the other variable
155,mean south statistical business moment,.the south statistical moment talk about kurtosis.it focus on the weakness of distribution in the dataset.
156,types newness,there are two types of newness.positive newness or negative newness
157,r correlation,the sample correlation coefficient r is a measure of the closeness of association of the points in a scatter plot
158,density plot,a density plot is a representation of the distribution of a numeric variable
159,density curve,a density curve is a graphical representation of a numerical distribution where the outcomes are continuous
160,univariate analysis,"univariate analysis is the simplest form of analyzing data. unimeans one , so in other words your data has only one variable"
161,disadvantage scatter plots,.what is the disadvantage of scatter plots interpretation can be subjective
162,strong mean scatter plot,the relationship between two variables is generally considered strong when their r value is larger than 0.7
163,outlets affect scatter plots,an outer for a scatter plot is the point or points that are farthest from the regression line
164,weak correlation,".as a rule of thumb, a correlation coefficient between 0.25 and 0.5 is considered to be a weak correlation between two variables"
165,.how know correlation strong weak,".when r is near plus 1 or minus 1, the linear relationship is strong when it is near 0, the linear relationship is weak"
166,describe covariance vs correlation,covariance does not standardise the but correlation standardise the data
167,difference covariance correlation,.covariance determine only direction but correlation determine both direction and strength
168,pearson correlations mean,".persons correlation coefficient is the test statistics that measures the statistical relationship, or association, between two continuous variables"
169,density plot used,.it uses a kernel density estimate to show the probability density function of the variable
170,significance interaction plots statistics,interaction plots are used to understand the behavior of one variable depends on the value of another variable
171,represent bivariate data,bivariate data includes data for two set of variables so two sets of data that might be linked
172,represent bivariate data graphically analyze,.bivariate data is most often displayed using a scatter plot
173,analyze density plot,".if a density curve is left skewed, then the mean is less than the median,right skewed, then the mean is greater than the median,no skew, then the mean is equal to the median"
174,density frequency,"as the area of a bar represents the frequency of its interval, the height of the bar represents the density"
175,difference frequency pictogram density pictogram,"in a density pictogram or probability density function, the total occurrences is one"
176,kernel plot,"kernel plot is also called as density plot,a density plot visualize the distribution of data over a continuous interval or time period"
177,quantity quantity plot show,quantity quantity plot is to show if two data sets come from the same distribution
178,quantity quantity plot better pictogram,quantity quantity plots overcomes all the limitations of the pictogram plot
179,difference probability plot quantity quantity plot,".a probability plot compares the empirical cumulative distribution function,a qunatile qunatile plot compares the quantities of a data distribution with the quantities"
180,unimodal,unimodal has just one peak
181,standard error newness,the ratio of newness to its standard error can be used as a test of formality 
182,standard error calculated,the standard error is calculated by dividing the standard deviation by the sample sizes square root
183,parsimonious model,parsimonious models are simple models with great explanatory predictive power
184,whiskey plot tell,.box plots visually show the distribution of numerical data and newness through displaying the data quarries or percentile and averages
185,vertices nodes,a vertex or node of a graph is one of the objects that are connected together
186,edge link graph,.an edge or link of a network or graph is one of the connections between the nodes or vertices of the network
187,weighted graph,weighted graph indicate real values associated with the edges
188,graphs,"in graph theory, these networks are called graphs"
189,third business moment,newness  which is the third  statistical moment measures asymmetry of data about its mean
190,symmetrical distribution,symmetrical distribution means in the data set both tails are symmetrical and newness is equal to zero.
191,identify symmetrical distribution,"we can identify the symmetrical distribution when mean,median and mode are equal"
192,positive newness,positive newness means in the dataset when mode is lesser than median and median is lesser than mean.
193,negative newness,negative newness means in the dataset when mean  is lesser than median and median is lesser than mode.
194,kurtosis normal distribution,this means that normal distribution may have a kurtosis of 3 or excess kurtosis of 0.
195,threshold newness,".if newness is less than minus 1 or greater than 1 the distribution is highly skewed, it is between minus 1 and minus0.5 or between 0.5 and 1 the distribution is moderately skewed"
196,types kurtosis,"there are three types of kurtosis is there.mesokurtic,leptokurtic and platykurtic"
197,explain mesokurtic,mesokurtic having the kurtosis of 3.this group involves the normal distribution and some specific binomial distributions.
198,explain leptokurtic,"the kurtosis is greater than 3, or excess kurtosis is greater than 0. this is the distribution with father tails and a more narrow peak"
199,explain platykurtic,the kurtosis is smaller than 3 or negative for excess kurtosis. this is a distribution with very thin tails compared to the normal distribution
200,example univariate analysis,.a variable in univariate analysis is just a condition or subset that your data falls into
201,difference univariate analysis multivariate analysis,univariate involves the analysis of a single variable while multivariate analysis examines two or more variables
202,using boosting,boosting grants power to machine learning models to improve their accuracy of prediction
203,use boosting,boosting grants power to machine learning models to improve their accuracy of prediction
204,use boosting machine learning,boosting grants power to machine learning models to improve their accuracy of prediction.
205,boosting technique,boosting is an ensemble learning method that combines a set of weak learners into a strong learner to minimize training errors.
206,describe boosting technique,boosting is an ensemble learning method that combines a set of weak learners into a strong learner to minimize training errors.
207,boosting,boosting is an ensemble learning method that combines a set of weak learners into a strong learner to minimize training errors.
208,define boosting,boosting is an ensemble learning method that combines a set of weak learners into a strong learner to minimize training errors
209,boosting effective,ensemble methods reduce the bias and variance of our machine learning models.ensemble methods help increase the stability and performance of machine learning models by eliminating the dependency of a single estimator.
210,different boosting techniques,"adaboost adaptive boosting algorithm,gradient boosting algorithm,xg boost algorithm"
211,key idea boosting,"the term boosting  refers to a family of algorithms which converts weak learner to strong learners. boosting is an ensemble method for improving the model predictions of any given learning algorithm. the idea of boosting is to train weak learners sequentially, each trying to correct its predecessor."
212,describe idea boosting,"the term boosting  refers to a family of algorithms which converts weak learner to strong learners. boosting is an ensemble method for improving the model predictions of any given learning algorithm. the idea of boosting is to train weak learners sequentially, each trying to correct its predecessor"
213,define key idea boosting,"the term boosting  refers to a family of algorithms which converts weak learner to strong learners. boosting is an ensemble method for improving the model predictions of any given learning algorithm. the idea of boosting is to train weak learners sequentially, each trying to correct its predecessor"
214,gradient boosting,"gradient boosting is a greedy algorithm and can overt a training dataset quickly
"
215,boost boost,"boost stands for extreme gradient boosting, where the term gradient boosting originates from the paper greedy function approximation  a gradient boosting machine, by friedman. the gradient boosted trees has been around for a while, and there are a lot of materials on the topic"
216,invented boosting,"robert schapire and year found made a huge impact in machine and statistical learning with their invention of boosting, which has survived the test of time"
217,boosting reduce bias,boosting is a sequential ensemble method that in general decreases the bias error and builds strong predictive models
218,technique boosting applied,"overfitting than adaboost boosting techniques tend to have low bias and high variance .for basic linear regression classifies, there is no effect of using gradient boosting"
219,technique boosting applied,"boosting is an ensemble modeling technique that attempts to build a strong classifier from the number of weak classifies. it is done by building a model by using weak models in series. firstly, a model is built from the training data"
220,boosting better bagging,"bagging decreases variance, not bias, and solves over fitting issues in a model. boosting decreases bias, not variance. in bagging, each model receives an equal weight. in boosting, models are weighed based on their performance"
221,describe boosting better bagging,"bagging decreases variance, not bias, and solves over fitting issues in a model. boosting decreases bias, not variance. in bagging, each model receives an equal weight. in boosting, models are weighed based on their performance"
222,boosting speed model learning,"boosting is a popular machine learning algorithm that increases accuracy of your model
"
223,boosting decision tree,"boosting means that each tree is dependent on prior trees. the algorithm learns by fitting the residual of the trees that preceded it. thus, boosting in a decision tree ensemble tends to improve accuracy with some small risk of less coverage"
224,define boosting decision tree,"boosting means that each tree is dependent on prior trees. the algorithm learns by fitting the residual of the trees that preceded it. thus, boosting in a decision tree ensemble tends to improve accuracy with some small risk of less coverage"
225,ment boosting decision tree,"boosting means that each tree is dependent on prior trees. the algorithm learns by fitting the residual of the trees that preceded it. thus, boosting in a decision tree ensemble tends to improve accuracy with some small risk of less coverage"
226,boosting decision tree,"boosting means that each tree is dependent on prior trees. the algorithm learns by fitting the residual of the trees that preceded it. thus, boosting in a decision tree ensemble tends to improve accuracy with some small risk of less coverage"
227,gradient boosting classifier,gradient boosting classifies are a group of machine learning algorithms that combine many weak learning models together to create a strong predictive model
228,gradient boosting classifier,gradient boosting classifies are a group of machine learning algorithms that combine many weak learning models together to create a strong predictive model
229,boosting stats,"in predictive modeling, boosting is an iterative ensemble method that starts out by applying a classification algorithm and generating classifications"
230,define boosting stats,"in predictive modeling, boosting is an iterative ensemble method that starts out by applying a classification algorithm and generating classifications"
231,describe boosting stats,"in predictive modeling, boosting is an iterative ensemble method that starts out by applying a classification algorithm and generating classifications"
232,difference adaboost gradient boosting,"adaboost is the first designed boosting algorithm with a particular loss function. on the other hand, gradient boosting is a generic algorithm that assists in searching the approximate solutions to the additive modelling problem. this makes gradient boosting more flexible than adaboost"
233,describe use boosting,boosting grants power to machine learning models to improve their accuracy of prediction
234,differentiate adaboost gradient boosting,"adaboost is the first designed boosting algorithm with a particular loss function. on the other hand, gradient boosting is a generic algorithm that assists in searching the approximate solutions to the additive modelling problem. this makes gradient boosting more flexible than adaboost"
235,gradient boosting supervised unsupervised,gradient boosting derived from the term gradient boosting machines is a popular supervised machine learning technique for regression and classification problems that aggregates an ensemble of weak individual models to obtain a more accurate final mode
236,boosting used regression,gradient boosting can be used for regression and classification problems
237,boosting reduce variance,"compared to the simple base learner,boosting increases variance and reduces bias.if you boost a simple base learner, the resulting model will have lower variance compared to some high variance reference like a too deep decision tree"
238,ensemble tree,an ensemble of trees are built one by one and individual trees are summed sequentially
239,describe ensemble tree,an ensemble of trees are built one by one and individual trees are summed sequentially
240,define ensemble tree,an ensemble of trees are built one by one and individual trees are summed sequentially
241,ensemble tree,"an ensemble of trees are built one by one and individual trees are summed sequentially
"
242,option highlighting difference blending stacking,"the difference between stacking and blending is that stacking uses out of fold predictions for the train set of the next layer,and blending uses a validation set to train the next layer"
243,random forest bagging boosting,the random forest algorithm is actually a bagging algorithm
244,random forest boosting algorithm,random forest is an boosting algorithm which uses trees as its weak classifies
245,best boosting algorithm,gradient boosting
246,best boosting algorithm,gradient boosting
247,difference boost lightgbm,"in boost, trees grow depth wise while in lightgbm, trees grow leaf wise which is the fundamental difference between the two frameworks"
248,differentiate boost lightgbm,"in boost, trees grow depth wise while in lightgbm, trees grow leaf wise which is the fundamental difference between the two frameworks"
249,boosting ensemble method,boosting is a general ensemble method that creates a strong classifier from a number of weak classifies
250,gradient boosting use bagging,"if the classifier is stable and simple high bias then we should apply boosting. bagging is extended to random forest model while boosting is extended to gradient boosting
"
251,boosting use bootstrap,boosting also requires bootstrapping
252,gradient boosting regression,"gradient boosting is a machine learning technique used in regression and classification tasks, among others. it gives a prediction model in the form of an ensemble of weak prediction models, which are typically decision trees
"
253,gradient boosting regression,"gradient boosting is a machine learning technique used in regression and classification tasks, among others. it gives a prediction model in the form of an ensemble of weak prediction models, which are typically decision trees"
254,ment gradient boosting regression,"gradient boosting is a machine learning technique used in regression and classification tasks, among others. it gives a prediction model in the form of an ensemble of weak prediction models, which are typically decision trees
"
255,define gradient boosting regression,"gradient boosting is a machine learning technique used in regression and classification tasks, among others. it gives a prediction model in the form of an ensemble of weak prediction models, which are typically decision trees
"
256,describe gradient boosting regression,"gradient boosting is a machine learning technique used in regression and classification tasks, among others. it gives a prediction model in the form of an ensemble of weak prediction models, which are typically decision trees
"
257,loss function gradient boosting,"n the context of gradient boosting, the training loss is the function that is optimized using gradient descent"
258,describe loss function gradient boosting,"in the context of gradient boosting, the training loss is the function that is optimized using gradient descent"
259,define loss function gradient boosting,"in the context of gradient boosting, the training loss is the function that is optimized using gradient descent"
260,ment loss function gradient boosting,"in the context of gradient boosting, the training loss is the function that is optimized using gradient descent
"
261,loss function gradient boosting,"in the context of gradient boosting, the training loss is the function that is optimized using gradient descent
"
262,gradient boosting overt,gradient boosting is a greedy algorithm and can overt a training dataset quickly
263,type boosting technique,"adaboost adaptive boosting algorithm,gradient boosting algorithm,xg boost algorithm"
264,describe different type boosting technique,"adaboost adaptive boosting algorithm,gradient boosting algorithm,xg boost algorithm"
265,boosted classification trees,boosting is a method of combining many weak learners trees into a strong classifier. common tree parameters. these parameters define the end condition for building a new tree. they are usually tuned to increase accuracy and prevent overfitting
266,define boosted classification trees,boosting is a method of combining many weak learners trees into a strong classifier. common tree parameters. these parameters define the end condition for building a new tree. they are usually tuned to increase accuracy and prevent overfitting
267,describe boosted classification trees,boosting is a method of combining many weak learners trees into a strong classifier. common tree parameters. these parameters define the end condition for building a new tree. they are usually tuned to increase accuracy and prevent overfitting
268,ment boosted classification trees,boosting is a method of combining many weak learners trees into a strong classifier. common tree parameters. these parameters define the end condition for building a new tree. they are usually tuned to increase accuracy and prevent overfitting
269,gradient boosting better random forest,"if you carefully tune parameters, gradient boosting can result in better performance than random forests"
270,gradient boosting use gradient descent,gradient boosting redefined boosting as a numerical optimization problem where the objective is to minimise the loss function of the model by adding weak learners using gradient descent
271,gradient boosting tree work,"gradient boosting is a type of machine learning boosting. it relies on the intuition that the best possible next model, when combined with previous models, minimizes the overall prediction error.if a small change in the prediction for a case causes no change in error, then next target outcome of the case is zero"
272,describe working gradient boosting tree,"gradient boosting is a type of machine learning boosting. it relies on the intuition that the best possible next model, when combined with previous models, minimizes the overall prediction error.if a small change in the prediction for a case causes no change in error, then next target outcome of the case is zero"
273,gradient boosting used classification,gradient boosting trees can be used for both regression and classification
274,describe boosting decision tree,"boosting means that each tree is dependent on prior trees
"
275,limitations boosting,"one disadvantage of boosting is that it is sensitive to outlets since every classifier is obliged to fix the errors in the predecessors. thus, the method is too dependent on outlets. another disadvantage is that the method is almost impossible to scale up"
276,describe limitations boosting,"one disadvantage of boosting is that it is sensitive to outlets since every classifier is obliged to fix the errors in the predecessors. thus, the method is too dependent on outlets. another disadvantage is that the method is almost impossible to scale up"
277,limitations boosting,"one disadvantage of boosting is that it is sensitive to outlets since every classifier is obliged to fix the errors in the predecessors. thus, the method is too dependent on outlets. another disadvantage is that the method is almost impossible to scale up"
278,technique boosting applied,"boosting is an ensemble modeling technique that attempts to build a strong classifier from the number of weak classifies. it is done by building a model by using weak models in series. firstly, a model is built from the training data"
279,technique boosting applied,"overfitting than adaboost boosting techniques tend to have low bias and high variance for basic linear regression classifies, there is no effect of using gradient boosting"
280,gradient boosting linear,"when gradient boosting is done along with linear regression, it is nothing more than another linear model over the existing linear model"
281,difference adaptive boosting gradient boosting,"adaboost is the first designed boosting algorithm with a particular loss function. on the other hand, gradient boosting is a generic algorithm that assists in searching the approximate solutions to the additive modelling problem. this makes gradient boosting more flexible than adaboost"
282,differentiate adaptive boosting gradient boosting,the basic principle behind the working of the boosting algorithm is to generate multiple weak learners and combine their predictions to form one strong rule. these weak rules are generated by applying base machine learning algorithms on different distributions of the data set
283,boosting algorithm work,the basic principle behind the working of the boosting algorithm is to generate multiple weak learners and combine their predictions to form one strong rule. these weak rules are generated by applying base machine learning algorithms on different distributions of the data set
284,describe working boosting algorithm,"the basic principle behind the working of the boosting algorithm is to generate multiple weak learners and combine their predictions to form one strong rule. these weak rules are generated by applying base machine learning algorithms on different distributions of the data set
"
285,ment working boosting algorithm,the basic principle behind the working of the boosting algorithm is to generate multiple weak learners and combine their predictions to form one strong rule. these weak rules are generated by applying base machine learning algorithms on different distributions of the data set
286,called gradient boosting,"the residual is the gradient of loss function and the sign of the residual, , is the gradient of loss function . by adding in approximations to residual, gradient boosting machines are chasing gradients, hence, the term gradient boosting."
287,boosting used regression,gradient boosting can be used for regression and classification problems
288,boost fast,"to calculate the gain in each split, boost uses cpu cache to store calculated gradients and sessions to make the necessary calculations fast. when data does not fit into the cache and main memory, then it becomes important to use the disk space"
289,gradient boosting supervised unsupervised,gradient boosting derived from the term gradient boosting machines is a popular supervised machine learning technique for regression and classification problems that aggregates an ensemble of weak individual models to obtain a more accurate final model
